"","x"
"1","16"
"2","41"
"3","86"
"4","115"
"5","154"
"6","396"
"7","488"
"8","496"
"9","550"
"10","559"
"11","597"
"12","615"
"13","626"
"14","628"
"15","640"
"16","685"
"17","688"
"18","764"
"19","817"
"20","820"
"21","825"
"22","870"
"23","871"
"24","941"
"25","982"
"26","1005"
"27","1039"
"28","1085"
"29","1094"
"30","1095"
"31","1124"
"32","1128"
"33","1129"
"34","1174"
"35","1260"
"36","1343"
"37","1399"
"38","1400"
"39","1401"
"40","1411"
"41","1434"
"42","1446"
"43","1495"
"44","1538"
"45","1541"
"46","1555"
"47","1569"
"48","1672"
"49","1734"
"50","1743"
"51","1744"
"52","1782"
"53","1814"
"54","1828"
"55","1836"
"56","1853"
"57","1854"
"58","1921"
"59","1972"
"60","1978"
"61","2080"
"62","2121"
"63","2145"
"64","2149"
"65","2157"
"66","2171"
"67","2194"
"68","2200"
"69","2205"
"70","2239"
"71","2314"
"72","2329"
"73","2331"
"74","2352"
"75","2382"
"76","2386"
"77","2413"
"78","2436"
"79","2467"
"80","2474"
"81","2556"
"82","2558"
"83","2559"
"84","2560"
"85","2564"
"86","2565"
"87","2566"
"88","2568"
"89","2588"
"90","2743"
"91","2764"
"92","2778"
"93","2789"
"94","2815"
"95","2819"
"96","2900"
"97","3069"
"98","3072"
"99","3073"
"100","3078"
"101","3080"
"102","3081"
"103","3083"
"104","3108"
"105","3196"
"106","3235"
"107","3263"
"108","3446"
"109","3448"
"110","3547"
"111","3549"
"112","3559"
"113","3648"
"114","3724"
"115","3759"
"116","3767"
"117","3780"
"118","3786"
"119","3795"
"120","3814"
"121","3910"
"122","3911"
"123","3951"
"124","3958"
"125","4005"
"126","4087"
"127","4178"
"128","4308"
"129","4341"
"130","4398"
"131","4478"
"132","4550"
"133","4556"
"134","4568"
"135","4575"
