column 1,Characterization,Product,Pathways of gene,GO terms (biological process),GO terms (cellular component),GO terms (molecular function)
abpA,PARTIAL,CP4-57 prophage; anti-bacteriophage protein,,defense response to virus,cytosol,nuclease activity // protein binding
abrB,PARTIAL,putative regulator,,regulation of gene expression,membrane // plasma membrane,
acnB,WELL-CHARACTERIZED,AcnB,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // superpathway of glyoxylate bypass and TCA // glyoxylate cycle // TCA cycle I (prokaryotic) // mixed acid fermentation // 2-methylcitrate cycle I","glyoxylate cycle // tricarboxylic acid cycle // regulation of translation // propionate catabolic process, 2-methylcitrate cycle",cytosol,"RNA binding // lyase activity // metal ion binding // mRNA 3'-UTR binding // mRNA binding // 4 iron, 4 sulfur cluster binding // protein binding // aconitate hydratase activity // 2-methylisocitrate dehydratase activity"
acrR,WELL-CHARACTERIZED,DNA-binding transcriptional repressor AcrR,,regulation of DNA-templated transcription // negative regulation of DNA-templated transcription // response to xenobiotic stimulus,cytosol // cytoplasm,transcription cis-regulatory region binding // protein binding // DNA binding // toxic substance binding // sequence-specific DNA binding // DNA-binding transcription factor activity
alaA,WELL-CHARACTERIZED,glutamate&mdash;pyruvate aminotransferase AlaA,superpathway of L-alanine biosynthesis // L-alanine biosynthesis II,amino acid biosynthetic process // biosynthetic process // alanine biosynthetic process // D-alanine biosynthetic process // DNA damage response // response to antibiotic // L-alanine biosynthetic process from pyruvate,cytoplasm // cytosol,catalytic activity // transaminase activity // protein homodimerization activity // pyridoxal phosphate binding // L-alanine:2-oxoglutarate aminotransferase activity
aldA,WELL-CHARACTERIZED,aldehyde dehydrogenase A,superpathway of fucose and rhamnose degradation // methylglyoxal degradation IV // superpathway of methylglyoxal degradation // L-lactaldehyde degradation (aerobic) // superpathway of glycol metabolism and degradation // ethylene glycol degradation // D-arabinose degradation II,gamma-aminobutyric acid catabolic process // fucose catabolic process // rhamnose catabolic process // L-fucose catabolic process,protein-containing complex // cytosol,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor // oxidoreductase activity // identical protein binding // glycolaldehyde dehydrogenase (NAD+) activity // lactaldehyde dehydrogenase (NAD+) activity // succinate-semialdehyde dehydrogenase (NAD+) activity"
ampG,WELL-CHARACTERIZED,muropeptide:H<sup>+</sup> symporter,peptidoglycan recycling I,peptidoglycan transport // peptidoglycan turnover // cell wall organization // transmembrane transport,membrane // plasma membrane,peptidoglycan transmembrane transporter activity // transmembrane transporter activity // symporter activity
ansP,PARTIAL,L-asparagine transporter,,transmembrane transport // amino acid transport,membrane // plasma membrane,
appC,WELL-CHARACTERIZED,cytochrome <i>bd</i>-II subunit 1,,transmembrane transport // aerobic electron transport chain // oxidative phosphorylation,plasma membrane // cytochrome complex // membrane,"oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor // electron transfer activity // heme binding // metal ion binding // cytochrome bo3 ubiquinol oxidase activity"
appY,WELL-CHARACTERIZED,DLP12 prophage; DNA-binding transcriptional activator AppY,,regulation of DNA-templated transcription // response to X-ray // cellular response to phosphate starvation // positive regulation of DNA-templated transcription,cytosol // cytoplasm,sequence-specific DNA binding // DNA binding // DNA-binding transcription factor activity
argC,WELL-CHARACTERIZED,N-acetylglutamylphosphate reductase,superpathway of arginine and polyamine biosynthesis // L-arginine biosynthesis I (via L-ornithine) // L-ornithine biosynthesis I,arginine biosynthetic process,cytoplasm // cytosol,NADP+ binding // oxidoreductase activity // NAD binding // N-acetyl-gamma-glutamyl-phosphate reductase activity
