column 1,"Gene products (complexes, polypeptides, and RNAs)",GO terms (biological process),Pathways of gene,Binding sites upstream of gene
ymdF,stress-induced bacterial acidophilic repeat motifs-containing protein YmdF,cell adhesion involved in single-species biofilm formation,,
lolC,lipoprotein release complex,protein localization to outer membrane // lipoprotein transport // lipoprotein localization to outer membrane,lipoprotein posttranslational modification (Gram-negative bacteria),
rho,transcription termination factor Rho,DNA-templated transcription termination,,
ssrA,tmRNA,rescue of stalled ribosome // trans-translation-dependent protein tagging // trans-translation,,
yibJ,putative RHS domain-containing protein YibJ,,,
intA,CP4-57 prophage; integrase IntA,viral genome integration into host DNA // symbiont entry into host cell // establishment of integrated proviral latency // DNA integration // DNA recombination // provirus excision,,
cycA,D-serine/alanine/glycine:H<sup>+</sup>symporter,transmembrane transport // amino acid transport // D-alanine transmembrane transport // L-alanine transport // beta-alanine transport // glycine transport // D-serine transmembrane transport,,
abrB,putative regulator,regulation of gene expression,,
zupT,divalent metal ion transporter ZupT,iron ion transport // zinc ion transport // cobalt ion transport // zinc ion import across plasma membrane // iron ion import across plasma membrane // zinc ion transmembrane transport // transmembrane transport // metal ion transport,,
ansP,L-asparagine transporter,transmembrane transport // amino acid transport,,
wbbK,putative glycosyltransferase WbbK,lipopolysaccharide biosynthetic process,,
wzzB,O-antigen co-polymerase,lipopolysaccharide biosynthetic process,,
murD,UDP-<i>N</i>-acetylmuramoyl-L-alanine&mdash;D-glutamate ligase,cell wall organization // biosynthetic process // cell division // regulation of cell shape // peptidoglycan biosynthetic process,peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing) // UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing),LexA DNA-binding-site 3 bases downstream of ftsLp2 // MraZ DNA-binding-site 18 bases downstream of mraZp // MraZ DNA-binding-site 8 bases downstream of mraZp // MraZ DNA-binding-site 3 bases upstream of mraZp // PdhR DNA-binding-site 42 bases upstream of mraZp
rodZ,cytoskeleton protein RodZ,peptidoglycan biosynthetic process // FtsZ-dependent cytokinesis // regulation of cell shape,,
mutL,methyl-directed mismatch repair system,"nucleotide-excision repair, DNA duplex unwinding // regulation of DNA recombination // DNA repair // mismatch repair involved in maintenance of fidelity involved in DNA-dependent DNA replication // mismatch repair",,
yibX,protein YibX-S,,,
def,peptide deformylase,translation // co-translational protein modification // N-terminal protein amino acid modification,,
lspA,lipoprotein signal peptidase,proteolysis // lipoprotein biosynthetic process via signal peptide cleavage,lipoprotein posttranslational modification (Gram-negative bacteria),
cbrC,PF03691 family colicin E2 tolerance protein CbrC,bacteriocin immunity,,
sgcX,KpLE2 phage-like element; putative endoglucanase with Zn-dependent exopeptidase domain,proteolysis,,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site regulating sgcXBCQAER // SlyA DNA-binding-site regulating sgcXBCQAER (BS0-8641) // SlyA DNA-binding-site regulating sgcXBCQAER (BS0-8639)
abpA,CP4-57 prophage; anti-bacteriophage protein,defense response to virus,,
intZ,CPZ-55 prophage; putative phage integrase IntZ,viral genome integration into host DNA // establishment of integrated proviral latency // symbiont entry into host cell // DNA integration // DNA recombination,,
