"","from","to","weight","type","edge_color","edge_type"
"1",1,2,1,"document_document","gray",NA
"2",3,4,1,"document_document","gray",NA
"3",5,6,1,"document_document","gray",NA
"4",7,8,1,"document_document","gray",NA
"5",9,10,1,"document_document","gray",NA
"6",11,12,1,"document_document","gray",NA
"7",13,14,1,"document_document","gray",NA
"8",15,16,1,"document_document","gray",NA
"9",17,18,1,"document_document","gray",NA
"10",19,20,1,"document_document","gray",NA
"11",21,22,1,"document_document","gray",NA
"12",23,24,1,"document_document","gray",NA
"13",25,26,1,"document_document","gray",NA
"14",27,28,1,"document_document","gray",NA
"15",29,30,1,"document_document","gray",NA
"16",31,32,1,"document_document","gray",NA
"17",33,34,1,"document_document","gray",NA
"18",11,35,0.991072252914733,"document_document","gray",NA
"19",12,35,0.991072252914733,"document_document","gray",NA
"20",11,36,0.991072252914733,"document_document","gray",NA
"21",12,36,0.991072252914733,"document_document","gray",NA
"22",35,36,1,"document_document","gray",NA
"23",37,38,1,"document_document","gray",NA
"24",39,40,1,"document_document","gray",NA
"25",41,42,1,"document_document","gray",NA
"26",43,44,1,"document_document","gray",NA
"27",17,45,0.990007878836326,"document_document","gray",NA
"28",18,45,0.990007878836326,"document_document","gray",NA
"29",17,46,0.990007878836326,"document_document","gray",NA
"30",18,46,0.990007878836326,"document_document","gray",NA
"31",45,46,1,"document_document","gray",NA
"32",11,47,0.991426488670875,"document_document","gray",NA
"33",12,47,0.991426488670875,"document_document","gray",NA
"34",11,48,0.991426488670875,"document_document","gray",NA
"35",12,48,0.991426488670875,"document_document","gray",NA
"36",47,48,1,"document_document","gray",NA
"37",49,50,1,"document_document","gray",NA
"38",51,52,1,"document_document","gray",NA
"39",53,54,1,"document_document","gray",NA
"40",55,56,1,"document_document","gray",NA
"41",57,58,1,"document_document","gray",NA
"42",57,59,0.990665034337158,"document_document","gray",NA
"43",58,59,0.990665034337158,"document_document","gray",NA
"44",57,60,0.990665034337158,"document_document","gray",NA
"45",58,60,0.990665034337158,"document_document","gray",NA
"46",59,60,1,"document_document","gray",NA
"47",61,62,1,"document_document","gray",NA
"48",61,63,0.991960592358744,"document_document","gray",NA
"49",62,63,0.991960592358744,"document_document","gray",NA
"50",61,64,0.991960592358744,"document_document","gray",NA
"51",62,64,0.991960592358744,"document_document","gray",NA
"52",63,64,1,"document_document","gray",NA
"53",65,66,1,"document_document","gray",NA
"54",67,68,1,"document_document","gray",NA
"55",9,69,0.990294021361792,"document_document","gray",NA
"56",10,69,0.990294021361792,"document_document","gray",NA
"57",9,70,0.990294021361792,"document_document","gray",NA
"58",10,70,0.990294021361792,"document_document","gray",NA
"59",69,70,1,"document_document","gray",NA
"60",71,72,1,"document_document","gray",NA
"61",73,74,1,"document_document","gray",NA
"62",75,76,1,"document_document","gray",NA
"63",77,78,1,"document_document","gray",NA
"64",15,79,0.993601426289529,"document_document","gray",NA
"65",16,79,0.993601426289529,"document_document","gray",NA
"66",15,80,0.993601426289529,"document_document","gray",NA
"67",16,80,0.993601426289529,"document_document","gray",NA
"68",79,80,1,"document_document","gray",NA
"69",81,82,1,"document_document","gray",NA
"70",83,84,1,"document_document","gray",NA
"71",85,86,1,"document_document","gray",NA
"72",87,88,1,"document_document","gray",NA
"73",89,90,1,"document_document","gray",NA
"74",91,92,1,"document_document","gray",NA
"75",93,94,1,"document_document","gray",NA
"76",95,96,1,"document_document","gray",NA
"77",97,98,1,"document_document","gray",NA
"78",99,100,1,"document_document","gray",NA
"79",101,102,1,"document_document","gray",NA
"80",103,104,1,"document_document","gray",NA
"81",105,106,1,"document_document","gray",NA
"82",107,108,1,"document_document","gray",NA
"83",109,110,1,"document_document","gray",NA
"84",111,112,1,"document_document","gray",NA
"85",113,114,1,"document_document","gray",NA
"86",115,116,1,"document_document","gray",NA
"87",117,118,1,"document_document","gray",NA
"88",119,120,1,"document_document","gray",NA
"89",121,122,1,"document_document","gray",NA
"90",123,124,1,"document_document","gray",NA
"91",125,126,1,"document_document","gray",NA
"92",127,128,1,"document_document","gray",NA
"93",95,129,0.996710598691446,"document_document","gray",NA
"94",96,129,0.996710598691446,"document_document","gray",NA
"95",95,130,0.996710598691446,"document_document","gray",NA
"96",96,130,0.996710598691446,"document_document","gray",NA
"97",129,130,1,"document_document","gray",NA
"98",131,132,1,"document_document","gray",NA
"99",95,133,0.994162702017327,"document_document","gray",NA
"100",96,133,0.994162702017327,"document_document","gray",NA
"101",129,133,0.991327294597464,"document_document","gray",NA
"102",130,133,0.991327294597464,"document_document","gray",NA
"103",95,134,0.994162702017327,"document_document","gray",NA
"104",96,134,0.994162702017327,"document_document","gray",NA
"105",129,134,0.991327294597464,"document_document","gray",NA
"106",130,134,0.991327294597464,"document_document","gray",NA
"107",133,134,1,"document_document","gray",NA
"108",135,136,1,"document_document","gray",NA
"109",137,138,1,"document_document","gray",NA
"110",87,139,0.992303475714082,"document_document","gray",NA
"111",88,139,0.992303475714082,"document_document","gray",NA
"112",87,140,0.992303475714082,"document_document","gray",NA
"113",88,140,0.992303475714082,"document_document","gray",NA
"114",139,140,1,"document_document","gray",NA
"115",123,141,0.996282197943719,"document_document","gray",NA
"116",124,141,0.996282197943719,"document_document","gray",NA
"117",123,142,0.996282197943719,"document_document","gray",NA
"118",124,142,0.996282197943719,"document_document","gray",NA
"119",141,142,1,"document_document","gray",NA
"120",143,144,1,"document_document","gray",NA
"121",145,146,1,"document_document","gray",NA
"122",147,148,1,"document_document","gray",NA
"123",149,150,1,"document_document","gray",NA
"124",131,151,0.990363297977611,"document_document","gray",NA
"125",132,151,0.990363297977611,"document_document","gray",NA
"126",131,152,0.990363297977611,"document_document","gray",NA
"127",132,152,0.990363297977611,"document_document","gray",NA
"128",151,152,1,"document_document","gray",NA
