"","name","group","log2FoldChange","timepoint","padj","sig_star","type","funcs","betweenness","alpha","degree","closeness","node_type","node_size"
"1","abpA","NC",-7.46322120018229,5,1.01427085583571e-11,"***","document",NA,0,2,259,0.00386100386100386,"document",2
"2","abpA","s4",-5.17631011269754,5,4.77353386521871e-14,"***","document",NA,0,4,258,0.00387596899224806,"document",2
"3","alaA","NC",1.59075944475265,5,1.82122978494708e-164,"***","document",NA,0,8,257,0.00389105058365759,"document",2
"4","alaA","s4",0.28034244494774,5,1.95060831413088e-05,"***","document",NA,0,16,256,0.00390625,"document",2
"5","aldA","NC",4.7384191450607,5,0,"***","document",NA,0,64,254,0.00393700787401575,"document",2
"6","aldA","s4",0.424491262344255,5,0.00281372158449216,"**","document",NA,0,128,253,0.00395256916996047,"document",2
"7","ampG","s4",-8.0799699599887,5,1.0418665462592e-14,"***","document",NA,0,512,251,0.00398406374501992,"document",2
"8","ampG","NC",-6.78432582558107,5,1.21262119041091e-10,"***","document",NA,0,1024,250,0.004,"document",2
"9","argH","NC",-2.49923955066296,5,1.55564390250199e-86,"***","document",NA,0,8192,247,0.00404858299595142,"document",2
"10","argH","s4",-3.13753356116491,5,6.64255253214751e-149,"***","document",NA,0,16384,246,0.0040650406504065,"document",2
"11","cbrC","NC",-2.14181722369432,5,2.0820821439494e-25,"***","document",NA,0,65536,244,0.0040983606557377,"document",2
"12","cbrC","s4",-0.974227151733304,5,4.43158426746062e-09,"***","document",NA,0,131072,243,0.00411522633744856,"document",2
"13","clpS","s4",1.33013789858095,5,0.013704491174691,"*","document",NA,0,262144,242,0.00413223140495868,"document",2
"14","clpS","NC",-3.11561605045745,5,0.0113435306889144,"*","document",NA,0,1048576,240,0.00416666666666667,"document",2
"15","cyoA","s4",-11.7373673950569,5,8.53550475068967e-30,"***","document",NA,0,2097152,239,0.00418410041841004,"document",2
"16","cyoA","NC",-2.7387307254917,5,4.39636011890023e-146,"***","document",NA,0,8388608,237,0.00421940928270042,"document",2
"17","dcyD","NC",-6.13640918679245,5,1.35234336995941e-08,"***","document",NA,0,16777216,236,0.00423728813559322,"document",2
"18","dcyD","s4",-6.77068375827068,5,2.34697640497186e-10,"***","document",NA,0,33554432,235,0.00425531914893617,"document",2
"19","deaD","NC",-3.74453112908114,5,1.24415703341188e-98,"***","document",NA,0,134217728,233,0.00429184549356223,"document",2
"20","deaD","s4",-7.28985587362082,5,1.23761183539288e-50,"***","document",NA,0,536870912,231,0.00432900432900433,"document",2
"21","def","NC",-1.12108780258703,5,3.81202185325346e-29,"***","document",NA,0,1073741824,230,0.00434782608695652,"document",2
"22","def","s4",0.505660840482178,5,1.23920434645317e-09,"***","document",NA,0,4294967296,228,0.0043859649122807,"document",2
"23","dicA","NC",-3.92196102549952,5,0.000481608174300652,"***","document",NA,0,8589934592,227,0.00440528634361234,"document",2
"24","dicA","s4",3.16655012727714,5,1.44105698708489e-29,"***","document",NA,0,17179869184,226,0.00442477876106195,"document",2
"25","dnaE","s4",1.02066217988947,5,0.0356798970862453,"*","document",NA,0,68719476736,224,0.00446428571428571,"document",2
"26","dnaE","NC",3.57777076890775,5,3.86386261501458e-20,"***","document",NA,0,137438953472,223,0.00448430493273543,"document",2
"27","dnaK","NC",3.76345475696875,5,0,"***","document",NA,0,549755813888,221,0.00452488687782805,"document",2
"28","dnaK","s4",1.20618324448887,5,5.95783904475211e-40,"***","document",NA,0,2199023255552,219,0.0045662100456621,"document",2
"29","dppB","s4",-8.99387214079229,5,6.9725043001858e-18,"***","document",NA,0,4398046511104,218,0.00458715596330275,"document",2
"30","dppB","NC",-8.35959692807225,5,1.68361607573563e-15,"***","document",NA,0,17592186044416,216,0.00462962962962963,"document",2
"31","elaB","s4",-5.49089804746455,5,7.48734404679815e-134,"***","document",NA,0,70368744177664,214,0.00467289719626168,"document",2
"32","elaB","NC",-6.51138877710431,5,1.33365388183205e-61,"***","document",NA,0,140737488355328,213,0.00469483568075117,"document",2
"33","fhuA","NC",-7.0350807130819,5,2.60505943515666e-11,"***","document",NA,0,281474976710656,212,0.00471698113207547,"document",2
"34","fhuA","s4",-1.46277741350041,5,2.9615480004935e-10,"***","document",NA,0,1125899906842624,210,0.00476190476190476,"document",2
"35","fliC","NC",-6.91267078194792,5,0,"***","document",NA,0,2251799813685248,209,0.00478468899521531,"document",2
"36","fliC","s4",-5.37235842625419,5,0,"***","document",NA,0,9007199254740992,207,0.00483091787439614,"document",2
"37","fliD","s4",-2.35555287306229,5,1.82390080748097e-40,"***","document",NA,0,36028797018963968,205,0.0048780487804878,"document",2
"38","fliD","NC",-5.12255286613269,5,8.01789287200339e-20,"***","document",NA,0,72057594037927936,204,0.00490196078431373,"document",2
"39","ftnB","NC",-3.71368682092447,5,0.00383825299194378,"**","document",NA,0,144115188075855872,203,0.00492610837438424,"document",2
"40","ftnB","s4",3.11729909689432,5,6.80347399867712e-07,"***","document",NA,0,288230376151711744,202,0.00495049504950495,"document",2
"41","gadX","s4",-4.86531857368661,5,3.42645631157186e-90,"***","document",NA,0,1152921504606846976,200,0.005,"document",2
"42","gadX","NC",-9.71360212400188,5,1.46695995785255e-20,"***","document",NA,0,2305843009213693952,199,0.0050251256281407,"document",2
"43","gatY","NC",-4.65145803051015,5,0,"***","document",NA,0,9223372036854775808,197,0.0050761421319797,"document",2
"44","gatY","s4",-3.96011593205362,5,0,"***","document",NA,0,36893488147419103232,195,0.00512820512820513,"document",2
"45","glgP","NC",-4.41053296352093,5,0.00307406252845865,"**","document",NA,0,1.47573952589676e+20,193,0.00518134715025907,"document",2
"46","glgP","s4",-5.04481645868583,5,0.000440013186608873,"***","document",NA,0,2.95147905179353e+20,192,0.00520833333333333,"document",2
"47","gpr","s4",2.60789541899608,5,3.03538797410433e-05,"***","document",NA,0,5.90295810358706e+20,191,0.00523560209424084,"document",2
"48","gpr","NC",-4.15194000713974,5,0.00104260851074893,"**","document",NA,0,1.18059162071741e+21,190,0.00526315789473684,"document",2
"49","gpsA","s4",-6.19634598458663,5,6.96786411815606e-55,"***","document",NA,0,9.44473296573929e+21,187,0.0053475935828877,"document",2
"50","gpsA","NC",-4.30975989241409,5,3.45953748662342e-49,"***","document",NA,0,1.88894659314786e+22,186,0.00537634408602151,"document",2
"51","hprS","NC",-7.93171907311278,5,1.96498590230737e-12,"***","document",NA,0,7.55578637259143e+22,184,0.00543478260869565,"document",2
"52","hprS","s4",-8.56599375335598,5,1.938175342149e-14,"***","document",NA,0,1.51115727451829e+23,183,0.00546448087431694,"document",2
"53","hsdS","NC",-3.97063034797358,5,0.0119640115490401,"*","document",NA,0,6.04462909807315e+23,181,0.00552486187845304,"document",2
"54","hsdS","s4",-4.60491250724948,5,0.00227646317609029,"**","document",NA,0,1.20892581961463e+24,180,0.00555555555555556,"document",2
"55","idi","NC",6.0596612806373,5,8.502645004298e-08,"***","document",NA,0,2.41785163922926e+24,179,0.00558659217877095,"document",2
"56","idi","s4",7.3802002516614,5,6.73868456783233e-12,"***","document",NA,0,4.83570327845852e+24,178,0.00561797752808989,"document",2
"57","insI1","s4",5.5294211779596,5,3.42423907706981e-55,"***","document",NA,0,1.93428131138341e+25,176,0.00568181818181818,"document",2
"58","insI1","NC",4.30699752218014,5,1.45248779711778e-32,"***","document",NA,0,3.86856262276681e+25,175,0.00571428571428571,"document",2
"59","insI3","NC",-7.51934394795309,5,3.09659237429381e-30,"***","document",NA,0,1.54742504910673e+26,173,0.00578034682080925,"document",2
"60","insI3","s4",-4.00238079479937,5,7.48734404679815e-134,"***","document",NA,0,3.09485009821345e+26,172,0.00581395348837209,"document",2
"61","intA","s4",1.44691703360821,5,9.5203125929539e-62,"***","document",NA,0,1.23794003928538e+27,170,0.00588235294117647,"document",2
"62","intA","NC",-0.347081441873369,5,0.00436114927906423,"**","document",NA,0,4.95176015714152e+27,168,0.00595238095238095,"document",2
"63","intF","NC",-7.75747630490276,5,2.74078675441352e-13,"***","document",NA,0,9.90352031428304e+27,167,0.00598802395209581,"document",2
"64","intF","s4",-1.85094490087816,5,4.02502580797862e-16,"***","document",NA,0,3.96140812571322e+28,165,0.00606060606060606,"document",2
"65","ispE","s4",-8.53924912138975,5,2.91327713146829e-16,"***","document",NA,0,1.58456325028529e+29,163,0.00613496932515337,"document",2
"66","ispE","NC",-2.83141006858067,5,2.09068805526183e-16,"***","document",NA,0,3.16912650057057e+29,162,0.00617283950617284,"document",2
"67","ldtE","s4",-2.56313334812924,5,3.16949879182015e-32,"***","document",NA,0,6.33825300114115e+29,161,0.0062111801242236,"document",2
"68","ldtE","NC",-3.35681248566627,5,8.75242251748768e-26,"***","document",NA,0,1.26765060022823e+30,160,0.00625,"document",2
